Event,Team,Date,Time,Location,Description
Basketball Practice,TIGERS,12/12/2012,7:00 PM,Salem Middle School,TIGERS / MATADORS / KINGS / BUZZSAWS
Basketball Practice,MATADORS,12/12/2012,7:00 PM,Salem Middle School,TIGERS / MATADORS / KINGS / BUZZSAWS
Basketball Practice,KINGS,12/12/2012,7:00 PM,Salem Middle School,TIGERS / MATADORS / KINGS / BUZZSAWS
Basketball Practice,BUZZSAWS,12/12/2012,7:00 PM,Salem Middle School,TIGERS / MATADORS / KINGS / BUZZSAWS
Basketball Practice,ZIPS,12/13/2012,8:00 PM,Salem Middle School,ZIPS / VOLCANOS / YELLOW JACKETS
Basketball Practice,VOLCANOS,12/13/2012,8:00 PM,Salem Middle School,ZIPS / VOLCANOS / YELLOW JACKETS
Basketball Practice,YELLOW JACKETS,12/13/2012,8:00 PM,Salem Middle School,ZIPS / VOLCANOS / YELLOW JACKETS
Basketball Practice,PRAIRIE DOGS,12/15/2012,9:00 AM,Salem Middle School,PRAIRIE DOGS / BISONS
Basketball Game,BISONS,1/26/2013,11:00 AM,Salem Middle School,BISONS VS YELLOW JACKETS
Basketball Practice,BOBCATS,12/15/2012,10:00 AM,Salem Middle School,BOBCATS / VOLCANOS
Basketball Practice,VOLCANOS,12/15/2012,10:00 AM,Salem Middle School,BOBCATS / VOLCANOS
Basketball Practice,ZIPS,12/15/2012,11:00 AM,Salem Middle School,ZIPS / PYTHONS
Basketball Practice,PYTHONS,12/15/2012,11:00 AM,Salem Middle School,ZIPS / PYTHONS
Basketball Practice,JACKHAMMERS,12/15/2012,12:00 PM,Salem Middle School,JACKHAMMERS / BEARS
Basketball Practice,BEARS,12/15/2012,12:00 PM,Salem Middle School,JACKHAMMERS / BEARS
Basketball Practice,TIGERS,12/15/2012,1:00 PM,Salem Middle School,TIGERS / BUZZSAWS
Basketball Practice,BUZZSAWS,12/15/2012,1:00 PM,Salem Middle School,TIGERS / BUZZSAWS
Basketball Practice,THUNDERBOLTS,12/15/2012,2:00 PM,Salem Middle School,THUNDERBOLTS / YELLOW JACKETS
Basketball Practice,YELLOW JACKETS,12/15/2012,2:00 PM,Salem Middle School,THUNDERBOLTS / YELLOW JACKETS
Basketball Practice,KINGS,12/15/2012,3:00 PM,Salem Middle School,KINGS / BAZOOKAS
Basketball Practice,BAZOOKAS,12/15/2012,3:00 PM,Salem Middle School,KINGS / BAZOOKAS
Basketball Practice,JUGGERNAUTS,12/15/2012,4:00 PM,Salem Middle School,JUGGERNAUTS / MATADORS
Basketball Practice,MATADORS,12/15/2012,4:00 PM,Salem Middle School,JUGGERNAUTS / MATADORS
Basketball Practice,BEARS,12/31/2012,7:00 PM,Salem Middle School,BEARS / PYTHONS / YELLOW JACKETS / ZIPS
Basketball Practice,PYTHONS,12/31/2012,7:00 PM,Salem Middle School,BEARS / PYTHONS / YELLOW JACKETS / ZIPS
Basketball Practice,YELLOW JACKETS,12/31/2012,7:00 PM,Salem Middle School,BEARS / PYTHONS / YELLOW JACKETS / ZIPS
Basketball Practice,ZIPS,12/31/2012,7:00 PM,Salem Middle School,BEARS / PYTHONS / YELLOW JACKETS / ZIPS
Basketball Practice,BOBCATS,12/31/2012,8:00 PM,Salem Middle School,BOBCATS / VOLCANOS / JUGGERNAUTS / BISONS
Basketball Practice,VOLCANOS,12/31/2012,8:00 PM,Salem Middle School,BOBCATS / VOLCANOS / JUGGERNAUTS / BISONS
Basketball Practice,JUGGERNAUTS,12/31/2012,8:00 PM,Salem Middle School,BOBCATS / VOLCANOS / JUGGERNAUTS / BISONS
Basketball Practice,BISONS,1/30/2013,7:00 PM,Salem Middle School,MATADORS / YELLOW JAC / BUZZSAWS / BISONS
Basketball Practice,TIGERS,1/2/2013,7:00 PM,Salem Middle School,TIGERS / BUZZSAWS / MATADORS / KINGS
Basketball Practice,BUZZSAWS,1/2/2013,7:00 PM,Salem Middle School,TIGERS / BUZZSAWS / MATADORS / KINGS
Basketball Practice,MATADORS,1/2/2013,7:00 PM,Salem Middle School,TIGERS / BUZZSAWS / MATADORS / KINGS
Basketball Practice,KINGS,1/2/2013,7:00 PM,Salem Middle School,TIGERS / BUZZSAWS / MATADORS / KINGS
Basketball Practice,THUNDERBOLTS,1/3/2013,8:00 PM,Salem Middle School,THUNDERBOLTS / PRAIRIE DOGS / BAZOOKAS / JACKHAMMERS
Basketball Practice,PRAIRIE DOGS,1/3/2013,8:00 PM,Salem Middle School,THUNDERBOLTS / PRAIRIE DOGS / BAZOOKAS / JACKHAMMERS
Basketball Practice,BAZOOKAS,1/3/2013,8:00 PM,Salem Middle School,THUNDERBOLTS / PRAIRIE DOGS / BAZOOKAS / JACKHAMMERS
Basketball Practice,JACKHAMMERS,1/3/2013,8:00 PM,Salem Middle School,THUNDERBOLTS / PRAIRIE DOGS / BAZOOKAS / JACKHAMMERS
Basketball Practice,ZIPS,1/7/2013,7:00 PM,Salem Middle School,ZIPS / THUNDERBOLTS / TIGERS
Basketball Practice,THUNDERBOLTS,1/7/2013,7:00 PM,Salem Middle School,ZIPS / THUNDERBOLTS / TIGERS
Basketball Practice,TIGERS,1/7/2013,7:00 PM,Salem Middle School,ZIPS / THUNDERBOLTS / TIGERS
Basketball Practice,BUZZSAWS,1/7/2013,8:00 PM,Salem Middle School,BUZZSAWS / VOLCANOS / PYTHONS
Basketball Practice,VOLCANOS,1/7/2013,8:00 PM,Salem Middle School,BUZZSAWS / VOLCANOS / PYTHONS
Basketball Practice,PYTHONS,1/7/2013,8:00 PM,Salem Middle School,BUZZSAWS / VOLCANOS / PYTHONS
Basketball Practice,JACKHAMMERS,1/8/2013,8:00 PM,Salem Middle School,JACKHAMMERS / JUGGERNAUTS / BEARS
Basketball Practice,JUGGERNAUTS,1/8/2013,8:00 PM,Salem Middle School,JACKHAMMERS / JUGGERNAUTS / BEARS
Basketball Practice,BEARS,1/8/2013,8:00 PM,Salem Middle School,JACKHAMMERS / JUGGERNAUTS / BEARS
Basketball Game,BISONS,2/2/2013,9:00 AM,Salem Middle School,JUGGERNAUTS VS BISONS
Basketball Practice,MATADORS,1/9/2013,7:00 PM,Salem Middle School,BISONS / MATADORS / YELLOW JACKETS / KINGS
Basketball Practice,YELLOW JACKETS,1/9/2013,7:00 PM,Salem Middle School,BISONS / MATADORS / YELLOW JACKETS / KINGS
Basketball Practice,KINGS,1/9/2013,7:00 PM,Salem Middle School,BISONS / MATADORS / YELLOW JACKETS / KINGS
Basketball Practice,BOBCATS,1/10/2013,8:00 PM,Salem Middle School,BOBCATS / PRAIRIE DOGS / BAZOOKAS
Basketball Practice,PRAIRIE DOGS,1/10/2013,8:00 PM,Salem Middle School,BOBCATS / PRAIRIE DOGS / BAZOOKAS
Basketball Practice,BAZOOKAS,1/10/2013,8:00 PM,Salem Middle School,BOBCATS / PRAIRIE DOGS / BAZOOKAS
Basketball Practice,BISONS,2/4/2013,8:00 PM,Salem Middle School,TIGERS / THUNDERBOLTS / BISONS
Basketball Practice,YELLOW JACKETS,1/14/2013,7:00 PM,Salem Middle School,BISONS / YELLOW JACKETS / JUGGERNAUTS
Basketball Practice,JUGGERNAUTS,1/14/2013,7:00 PM,Salem Middle School,BISONS / YELLOW JACKETS / JUGGERNAUTS
Basketball Practice,PYTHONS,1/14/2013,8:00 PM,Salem Middle School,PYTHONS / KINGS / BAZOOKAS
Basketball Practice,KINGS,1/14/2013,8:00 PM,Salem Middle School,PYTHONS / KINGS / BAZOOKAS
Basketball Practice,BAZOOKAS,1/14/2013,8:00 PM,Salem Middle School,PYTHONS / KINGS / BAZOOKAS
Basketball Practice,THUNDERBOLTS,1/15/2013,8:00 PM,Salem Middle School,THUNDERBOLTS / TIGERS / JACKHAMMERS
Basketball Practice,TIGERS,1/15/2013,8:00 PM,Salem Middle School,THUNDERBOLTS / TIGERS / JACKHAMMERS
Basketball Practice,JACKHAMMERS,1/15/2013,8:00 PM,Salem Middle School,THUNDERBOLTS / TIGERS / JACKHAMMERS
Basketball Practice,MATADORS,1/16/2013,7:00 PM,Salem Middle School,MATADORS / BOBCATS / BEARS / PRAIRIE DOGS
Basketball Practice,BOBCATS,1/16/2013,7:00 PM,Salem Middle School,MATADORS / BOBCATS / BEARS / PRAIRIE DOGS
Basketball Practice,BEARS,1/16/2013,7:00 PM,Salem Middle School,MATADORS / BOBCATS / BEARS / PRAIRIE DOGS
Basketball Practice,PRAIRIE DOGS,1/16/2013,7:00 PM,Salem Middle School,MATADORS / BOBCATS / BEARS / PRAIRIE DOGS
Basketball Practice,BUZZSAWS,1/17/2013,8:00 PM,Salem Middle School,BUZZSAWS / ZIPS / VOLCANOS
Basketball Practice,ZIPS,1/17/2013,8:00 PM,Salem Middle School,BUZZSAWS / ZIPS / VOLCANOS
Basketball Practice,VOLCANOS,1/17/2013,8:00 PM,Salem Middle School,BUZZSAWS / ZIPS / VOLCANOS
Basketball Practice,JACKHAMMERS,1/22/2013,7:00 PM,Salem Middle School,JACKHAMMERS / YELLOW JACK / PRAIRIE DOGS / PYTHONS
Basketball Practice,YELLOW JACK,1/22/2013,7:00 PM,Salem Middle School,JACKHAMMERS / YELLOW JACK / PRAIRIE DOGS / PYTHONS
Basketball Practice,PRAIRIE DOGS,1/22/2013,7:00 PM,Salem Middle School,JACKHAMMERS / YELLOW JACK / PRAIRIE DOGS / PYTHONS
Basketball Practice,PYTHONS,1/22/2013,7:00 PM,Salem Middle School,JACKHAMMERS / YELLOW JACK / PRAIRIE DOGS / PYTHONS
Basketball Practice,THUNDERBOLTS,1/22/2013,8:00 PM,Salem Middle School,THUNDERBOLTS / TIGERS / ZIPS / BAZOOKAS
Basketball Practice,TIGERS,1/22/2013,8:00 PM,Salem Middle School,THUNDERBOLTS / TIGERS / ZIPS / BAZOOKAS
Basketball Practice,ZIPS,1/22/2013,8:00 PM,Salem Middle School,THUNDERBOLTS / TIGERS / ZIPS / BAZOOKAS
Basketball Practice,BAZOOKAS,1/22/2013,8:00 PM,Salem Middle School,THUNDERBOLTS / TIGERS / ZIPS / BAZOOKAS
Basketball Practice,BUZZSAWS,1/23/2013,7:00 PM,Salem Middle School,BUZZSAWS / MATADORS / KINGS / JUGGERNAUTS
Basketball Practice,MATADORS,1/23/2013,7:00 PM,Salem Middle School,BUZZSAWS / MATADORS / KINGS / JUGGERNAUTS
Basketball Practice,KINGS,1/23/2013,7:00 PM,Salem Middle School,BUZZSAWS / MATADORS / KINGS / JUGGERNAUTS
Basketball Practice,JUGGERNAUTS,1/23/2013,7:00 PM,Salem Middle School,BUZZSAWS / MATADORS / KINGS / JUGGERNAUTS
Basketball Practice,VOLCANOS,1/24/2013,8:00 PM,Salem Middle School,VOLCANOS / BISONS / BOBCATS / BEARS
Basketball Game,BISONS,2/9/2013,11:00 AM,Salem Middle School,BISONS VS PYTHONS
Basketball Practice,BOBCATS,1/24/2013,8:00 PM,Salem Middle School,VOLCANOS / BISONS / BOBCATS / BEARS
Basketball Practice,BEARS,1/24/2013,8:00 PM,Salem Middle School,VOLCANOS / BISONS / BOBCATS / BEARS
Basketball Practice,KINGS,1/28/2013,7:00 PM,Salem Middle School,KINGS / JUGGERNAUTS / BOBCATS
Basketball Practice,JUGGERNAUTS,1/28/2013,7:00 PM,Salem Middle School,KINGS / JUGGERNAUTS / BOBCATS
Basketball Practice,BOBCATS,1/28/2013,7:00 PM,Salem Middle School,KINGS / JUGGERNAUTS / BOBCATS
Basketball Practice,ZIPS,1/28/2013,8:00 PM,Salem Middle School,ZIPS / BEARS / PRAIRIE DOGS
Basketball Practice,BEARS,1/28/2013,8:00 PM,Salem Middle School,ZIPS / BEARS / PRAIRIE DOGS
Basketball Practice,PRAIRIE DOGS,1/28/2013,8:00 PM,Salem Middle School,ZIPS / BEARS / PRAIRIE DOGS
Basketball Practice,THUNDERBOLTS,1/29/2013,8:00 PM,Salem Middle School,THUNDERBOLTS / JACKHAMMERS / BAZOOKAS
Basketball Practice,JACKHAMMERS,1/29/2013,8:00 PM,Salem Middle School,THUNDERBOLTS / JACKHAMMERS / BAZOOKAS
Basketball Practice,BAZOOKAS,1/29/2013,8:00 PM,Salem Middle School,THUNDERBOLTS / JACKHAMMERS / BAZOOKAS
Basketball Practice,MATADORS,1/30/2013,7:00 PM,Salem Middle School,MATADORS / YELLOW JAC / BUZZSAWS / BISONS
Basketball Practice,YELLOW JAC,1/30/2013,7:00 PM,Salem Middle School,MATADORS / YELLOW JAC / BUZZSAWS / BISONS
Basketball Practice,BUZZSAWS,1/30/2013,7:00 PM,Salem Middle School,MATADORS / YELLOW JAC / BUZZSAWS / BISONS
Basketball Practice,BISONS,2/11/2013,7:00 PM,Salem Middle School,BISONS / VOLCANOS / THUNDERBOLTS
Basketball Practice,TIGERS,1/31/2013,8:00 PM,Salem Middle School,TIGERS / VOLCANOS / PYTHONS
Basketball Practice,VOLCANOS,1/31/2013,8:00 PM,Salem Middle School,TIGERS / VOLCANOS / PYTHONS
Basketball Practice,PYTHONS,1/31/2013,8:00 PM,Salem Middle School,TIGERS / VOLCANOS / PYTHONS
Basketball Practice,VOLCANOS,2/4/2013,7:00 PM,Salem Middle School,VOLCANOS / BUZZSAWS / PRAIRIE DOGS
Basketball Practice,BUZZSAWS,2/4/2013,7:00 PM,Salem Middle School,VOLCANOS / BUZZSAWS / PRAIRIE DOGS
Basketball Practice,PRAIRIE DOGS,2/4/2013,7:00 PM,Salem Middle School,VOLCANOS / BUZZSAWS / PRAIRIE DOGS
Basketball Practice,TIGERS,2/4/2013,8:00 PM,Salem Middle School,TIGERS / THUNDERBOLTS / BISONS
Basketball Practice,THUNDERBOLTS,2/4/2013,8:00 PM,Salem Middle School,TIGERS / THUNDERBOLTS / BISONS
Basketball Game,BISONS,2/16/2013,3:00 PM,Salem Middle School,BISONS VS TIGERS
Basketball Practice,JACKHAMMERS,2/5/2013,8:00 PM,Salem Middle School,JACKHAMMERS / BOBCATS / BAZOOKAS
Basketball Practice,BOBCATS,2/5/2013,8:00 PM,Salem Middle School,JACKHAMMERS / BOBCATS / BAZOOKAS
Basketball Practice,BAZOOKAS,2/5/2013,8:00 PM,Salem Middle School,JACKHAMMERS / BOBCATS / BAZOOKAS
Basketball Practice,BEARS,2/6/2013,7:00 PM,Salem Middle School,BEARS / PYTHONS / MATADORS / KINGS
Basketball Practice,PYTHONS,2/6/2013,7:00 PM,Salem Middle School,BEARS / PYTHONS / MATADORS / KINGS
Basketball Practice,MATADORS,2/6/2013,7:00 PM,Salem Middle School,BEARS / PYTHONS / MATADORS / KINGS
Basketball Practice,KINGS,2/6/2013,7:00 PM,Salem Middle School,BEARS / PYTHONS / MATADORS / KINGS
Basketball Practice,ZIPS,2/7/2013,8:00 PM,Salem Middle School,ZIPS / YELLOW JACKETS / JUGGERNAUTS
Basketball Practice,YELLOW JACKETS,2/7/2013,8:00 PM,Salem Middle School,ZIPS / YELLOW JACKETS / JUGGERNAUTS
Basketball Practice,JUGGERNAUTS,2/7/2013,8:00 PM,Salem Middle School,ZIPS / YELLOW JACKETS / JUGGERNAUTS
Basketball Practice,BISONS,2/18/2013,7:00 PM,Salem Middle School,BISONS / YELLOW JACKETS / ZIPS
Basketball Practice,VOLCANOS,2/11/2013,7:00 PM,Salem Middle School,BISONS / VOLCANOS / THUNDERBOLTS
Basketball Practice,THUNDERBOLTS,2/11/2013,7:00 PM,Salem Middle School,BISONS / VOLCANOS / THUNDERBOLTS
Basketball Practice,ZIPS,2/11/2013,8:00 PM,Salem Middle School,ZIPS / YELLOW JACKETS / BOBCATS
Basketball Practice,YELLOW JACKETS,2/11/2013,8:00 PM,Salem Middle School,ZIPS / YELLOW JACKETS / BOBCATS
Basketball Practice,BOBCATS,2/11/2013,8:00 PM,Salem Middle School,ZIPS / YELLOW JACKETS / BOBCATS
Basketball Practice,JACKHAMMERS,2/12/2013,8:00 PM,Salem Middle School,JACKHAMMERS / TIGERS / BEARS
Basketball Practice,TIGERS,2/12/2013,8:00 PM,Salem Middle School,JACKHAMMERS / TIGERS / BEARS
Basketball Practice,BEARS,2/12/2013,8:00 PM,Salem Middle School,JACKHAMMERS / TIGERS / BEARS
Basketball Practice,JUGGERNAUTS,2/13/2013,7:00 PM,Salem Middle School,JUGGERNAUTS / MATADORS / KINGS / PYTHONS
Basketball Practice,MATADORS,2/13/2013,7:00 PM,Salem Middle School,JUGGERNAUTS / MATADORS / KINGS / PYTHONS
Basketball Practice,KINGS,2/13/2013,7:00 PM,Salem Middle School,JUGGERNAUTS / MATADORS / KINGS / PYTHONS
Basketball Practice,PYTHONS,2/13/2013,7:00 PM,Salem Middle School,JUGGERNAUTS / MATADORS / KINGS / PYTHONS
Basketball Practice,BUZZSAWS,2/14/2013,8:00 PM,Salem Middle School,BUZZSAWS / BAZOOKAS / PRAIRIE DOGS
Basketball Practice,BAZOOKAS,2/14/2013,8:00 PM,Salem Middle School,BUZZSAWS / BAZOOKAS / PRAIRIE DOGS
Basketball Practice,PRAIRIE DOGS,2/14/2013,8:00 PM,Salem Middle School,BUZZSAWS / BAZOOKAS / PRAIRIE DOGS
Basketball Game,BISONS,2/23/2013,12:00 PM,Salem Middle School,KINGS VS BISONS
Basketball Practice,YELLOW JACKETS,2/18/2013,7:00 PM,Salem Middle School,BISONS / YELLOW JACKETS / ZIPS
Basketball Practice,ZIPS,2/18/2013,7:00 PM,Salem Middle School,BISONS / YELLOW JACKETS / ZIPS
Basketball Practice,PYTHONS,2/18/2013,8:00 PM,Salem Middle School,PYTHONS / KINGS / BUZZSAWS
Basketball Practice,KINGS,2/18/2013,8:00 PM,Salem Middle School,PYTHONS / KINGS / BUZZSAWS
Basketball Practice,BUZZSAWS,2/18/2013,8:00 PM,Salem Middle School,PYTHONS / KINGS / BUZZSAWS
Basketball Practice,JACKHAMMERS,2/19/2013,8:00 PM,Salem Middle School,JACKHAMMERS / BOBCATS / PRAIRIE DOGS
Basketball Practice,BOBCATS,2/19/2013,8:00 PM,Salem Middle School,JACKHAMMERS / BOBCATS / PRAIRIE DOGS
Basketball Practice,PRAIRIE DOGS,2/19/2013,8:00 PM,Salem Middle School,JACKHAMMERS / BOBCATS / PRAIRIE DOGS
Basketball Practice,TIGERS,2/20/2013,7:00 PM,Salem Middle School,TIGERS / BEARS / MATADORS / THUNDERBOLTS
Basketball Practice,BEARS,2/20/2013,7:00 PM,Salem Middle School,TIGERS / BEARS / MATADORS / THUNDERBOLTS
Basketball Practice,MATADORS,2/20/2013,7:00 PM,Salem Middle School,TIGERS / BEARS / MATADORS / THUNDERBOLTS
Basketball Practice,THUNDERBOLTS,2/20/2013,7:00 PM,Salem Middle School,TIGERS / BEARS / MATADORS / THUNDERBOLTS
Basketball Practice,VOLCANOS,2/21/2013,8:00 PM,Salem Middle School,VOLCANOS / JUGGERNAUTS / BAZOOKAS
Basketball Practice,JUGGERNAUTS,2/21/2013,8:00 PM,Salem Middle School,VOLCANOS / JUGGERNAUTS / BAZOOKAS
Basketball Practice,BAZOOKAS,2/21/2013,8:00 PM,Salem Middle School,VOLCANOS / JUGGERNAUTS / BAZOOKAS
Basketball Practice,THUNDERBOLTS,2/25/2013,7:00 PM,Salem Middle School,THUNDERBOLTS / JUGGERNAUTS / TIGERS
Basketball Practice,JUGGERNAUTS,2/25/2013,7:00 PM,Salem Middle School,THUNDERBOLTS / JUGGERNAUTS / TIGERS
Basketball Practice,TIGERS,2/25/2013,7:00 PM,Salem Middle School,THUNDERBOLTS / JUGGERNAUTS / TIGERS
Basketball Practice,VOLCANOS,2/25/2013,8:00 PM,Salem Middle School,VOLCANOS / BAZOOKAS / BEARS
Basketball Practice,BAZOOKAS,2/25/2013,8:00 PM,Salem Middle School,VOLCANOS / BAZOOKAS / BEARS
Basketball Practice,BEARS,2/25/2013,8:00 PM,Salem Middle School,VOLCANOS / BAZOOKAS / BEARS
Basketball Practice,JACKHAMMERS,2/26/2013,8:00 PM,Salem Middle School,JACKHAMMERS / PYTHONS / BOBCATS
Basketball Practice,PYTHONS,2/26/2013,8:00 PM,Salem Middle School,JACKHAMMERS / PYTHONS / BOBCATS
Basketball Practice,BOBCATS,2/26/2013,8:00 PM,Salem Middle School,JACKHAMMERS / PYTHONS / BOBCATS
Basketball Practice,MATADORS,2/27/2013,7:00 PM,Salem Middle School,MATADORS / BUZZSAWS / PRAIRIE DOGS / KINGS
Basketball Practice,BUZZSAWS,2/27/2013,7:00 PM,Salem Middle School,MATADORS / BUZZSAWS / PRAIRIE DOGS / KINGS
Basketball Practice,PRAIRIE DOGS,2/27/2013,7:00 PM,Salem Middle School,MATADORS / BUZZSAWS / PRAIRIE DOGS / KINGS
Basketball Practice,KINGS,2/27/2013,7:00 PM,Salem Middle School,MATADORS / BUZZSAWS / PRAIRIE DOGS / KINGS
Basketball Practice,ZIPS,2/28/2013,8:00 PM,Salem Middle School,ZIPS / BISONS / YELLOW JACKETS
Basketball Practice,BISONS,2/28/2013,8:00 PM,Salem Middle School,ZIPS / BISONS / YELLOW JACKETS
Basketball Practice,YELLOW JACKETS,2/28/2013,8:00 PM,Salem Middle School,ZIPS / BISONS / YELLOW JACKETS
